华硕TUF GAMING B760M-PLUS WIFI D4 重炮手主板  CPU 14600KF/14700KF（Intel B760/LGA 1700）,1219.00,华硕京东自营旗舰店,【重炮手WIFID4】B760M,10万+,jfs/t1/179419/35/31046/109862/63b7bca3F9902d146/d8e891b8795c2480.jpg,1000000225,15万+人加购;90万+人浏览;用料扎实;重炮手,100041216184,10万+,100041216184
AMD锐龙 5 9600X处理器(R5) 4nm 6核12线程 加速频率至高5.4GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,1349.00,AMD京东自营旗舰店,9600X盒装CPU,2万+,jfs/t1/424061/14/19093/95421/69f32c01Fabbcf815/008332032050563e.jpg,1000000706,超频发烧利器;优质畅玩;畅玩大作;高效游戏体验,100110580225,5万+,100110580225
AMD锐龙5 5600处理器(r5)7nm 6核12线程 加速频率至高4.4GHz AM4盒装CPU 畅玩无畏契约/CSGO,879.00,AMD京东自营旗舰店,R5-5600|3.5GHz|6核12线程,5万+,jfs/t1/425843/3/14133/96532/69f32c74Fd9624791/0083320320299be8.jpg,1000000706,快速编译;多线程支持;游戏强芯;高效能核芯,100035814972,7万+,100035814972
英特尔（Intel）酷睿14代 i5处理器14400F 10核16线程 睿频至高可达4.7Ghz 20M三级缓存 台式机盒装CPU,1209.00,英特尔京东自营旗舰店,i5-14400F盒装CPU,2000+,jfs/t1/426247/40/10314/341987/69f19a7dFee2b7458/0083320320f50fb5.png,1000000693,大缓存20M;高效多核;i5性价款;睿频4.7G,100081587517,5000+,100081587517
AMD锐龙9 9950X3D2双X3D缓存处理器16核32线程208MB缓存至高5.6GHz盒装CPU生产力千帧电竞打瓦/三角洲,6999.00,AMD京东自营旗舰店,,200+,jfs/t1/423986/31/20017/66293/69f32c98Fb1a7e5eb/0083320320df11e2.jpg,1000000706,新功能·双缓存版处理器;208M游戏缓存,100256939673,600+,100256939673
AMD锐龙7 7800X3D游戏处理器8核16线程104MB游戏缓存 加速频率至高5GHz盒装CPU 畅玩打瓦/三角洲/CSGO,2499.00,AMD京东自营旗舰店,7800X3D盒装CPU,2万+,jfs/t1/428069/11/7484/96334/69f32c27Fcc948538/0083320320cb3189.jpg,1000000706,至高达5GHz;畅玩无忧;优质稳定性;5纳米工艺,100046394400,5万+,100046394400
AMD锐龙5 5500X3D处理器6核12线程99MB缓存加速频率至高4GHz盒装游戏CPU畅玩三角洲\无畏契约\CS2,1278.99,AMD京东自营旗舰店,R5-5500X3D|3GHz|6核12线程,20万+,jfs/t1/429613/39/1933/100533/69f329c6F9eca7b21/00833203200fbf9b.jpg,1000000706,6核心12线程;至高可达4GHz;99MB游戏缓存;快速响应速度;多核性能;高频加速;高效能处理;电竞游戏利器;大容量缓存,100324563018,30万+,100324563018
英特尔（Intel）酷睿12代 i5处理器12600KF 10核16线程 单核睿频至高可达4.9Ghz 20M三级缓存 盒装CPU,1349.00,英特尔京东自营旗舰店,12600KF盒装CPU,10万+,jfs/t1/425164/18/13778/108790/69f19a76Ffd76b970/008332032066f964.png,1000000693,超高频率;超值选择;异构强芯;游戏利器,100026951642,10万+,100026951642
华硕TUF GAMING B760M-PLUS WIFI II重炮手二代 DDR5 CPU 14600KF/14700KF（Intel B760/LGA 1700）,1289.00,华硕京东自营旗舰店,【重炮手WIFID5】B760M,5万+,jfs/t1/233680/30/12928/126467/65aa1906F72d5c545/8f5efa97e28b6406.jpg,1000000225,15万+店铺粉丝浏览;50万+人加购;1万+人收藏,100088789712,10万+,100088789712
AMD锐龙5 7500F处理器(r5)5nm 6核12线程 加速频率至高5GHz AM5盒装CPU 畅玩打瓦/三角洲/CSGO,829.00,AMD京东自营旗舰店,7500F盒装CPU,2万+,jfs/t1/423694/29/20171/86631/69f32c56F14c6eb06/0083320320dfe668.jpg,1000000706,优化性能表现;先进架构设计;高效多线程;5nm制程技术,100059227024,6万+,100059227024
AMD 锐龙5 5600GT处理器(r5) 6核12线程 加速频率至高4.6GHz 含Radeon Graphics集显,1069.00,AMD京东自营旗舰店,R5-5600GT|3.6GHz|6核12线程,20万+,jfs/t1/429842/35/1417/96283/69f329c8Fc42f5e92/008332032033b0fb.jpg,1000000706,极速加速;强劲性能;流畅游戏;高效多核,100085063817,30万+,100085063817
微星（MSI）MAG B650M MORTAR WIFI迫击炮+锐龙AMD R5 9600X主板CPU套装,2448.00,微星京东自营旗舰店,微星B650M 迫击炮WIFI+9600X,2万+,jfs/t1/313135/8/8897/114474/684b9fe0F9651120f/8d9e913f396a07a5.jpg,1000000266,套装更优惠;高效散热;灵活扩展;高速连接,100131546458,5万+,100131546458
AMD锐龙 9 9950X处理器(R9) 4nm 16核32线程 加速频率至高5.7GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,3619.00,AMD京东自营旗舰店,,1万+,jfs/t1/345766/27/13651/29912/68f20188F39c3d1cc/457ef1d45125f8c5.jpg,1000000706,100万+人浏览;20万+店铺粉丝浏览,100110580223,1万+,100110580223
AMD锐龙 5 9500F 处理器(R5) 4nm 6核12线程 加速频率至高5GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,1299.00,AMD京东自营旗舰店,9500F盒装CPU,1000+,jfs/t1/427313/22/8768/88412/69f32a37F24a5b95c/0083320320f308a2.jpg,1000000706,32MB缓存;至高达5GHz;5GHz加速;强劲性能;电竞娱乐专属;超频至5GHz;游戏流畅;流畅魔兽世界;6核12线程;畅玩英雄联盟,100206255693,1000+,100206255693
英特尔（Intel）酷睿 Ultra 5 处理器 250KF Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1649.00,英特尔京东自营旗舰店,Ultra 5 250KF Plus,78,jfs/t1/428610/38/2977/421605/69f19a85F3cd63c4a/00833203205c399b.png,1000000693,全新二进制技术;节能稳定静音;影像处理强;日常办公利器;高频率性能;解锁超频潜力;游戏畅快体验;多核多线程,100326334114,100+,100326334114
英特尔（Intel）酷睿14代 i7处理器14700KF 20核28线程 五年质保 盒装台式机CPU 游戏办公剪辑,2499.00,英特尔京东自营旗舰店,14700KF盒装CPU,5万+,jfs/t1/425433/14/13160/116858/69f19a6dF2fb4ef45/0083320320d92783.png,1000000693,游戏流畅;适配多种场景;高效多线程;剪辑高手,100070072259,7万+,100070072259
AMD锐龙9 9950X3D处理器16核32线程144MB缓存至高5.7GHz盒装CPU生产力 千帧电竞畅玩打瓦/三角洲/CSGO,4779.00,AMD京东自营旗舰店,9950X3D盒装CPU,1万+,jfs/t1/418199/32/10546/33254/69dd6cc2Fc35806ce/065c320320603b8b.jpg,1000000706,澎湃动力;4.3GHz;性能超强悍,100149071725,2万+,100149071725
AMD锐龙R7 5700G+微星 A520M-A PRO主板 CPU板U套装,1649.00,AMD电脑京东自营旗舰店,R7 5700G+微星 A520M-A PRO,500+,jfs/t1/403711/28/11956/153391/69b8b8ddF799d952c/0083320320692216.jpg,1000481867,紧凑设计;微星品质;个人送保;增值发票;AMD平台;锐龙加持,100318539778,1000+,100318539778
精粤(JGINYUE) 精粤 主板CPU套装H810M-D+英特尔酷睿Ultra5 225F 主板CPU套装,4428.00,精粤京东自营旗舰店,Ultra5 225F,500+,jfs/t1/353806/20/17635/123595/69216dabF7bab0906/fcd6f027cab568a9.png,1000600299,紧凑设计;LGA1851;智能供电;ARGB灯效;酷睿Ultra,100300735436,800+,100300735436
AMD锐龙R7 9700X+华硕 TUF GAMING B850M-E WIFI DDR5主板+CPU板U套装,3099.00,AMD电脑京东自营旗舰店,9700X+华硕 TUF GAMING B850M-E,500+,jfs/t1/386656/13/3198/106343/695f4e82Feefedf54/aa6c72dd0bed85ee.jpg,1000481867,游戏专用;WiFi集成;DDR5内存,100314800032,1000+,100314800032
铭瑄MS-终结者 B650M WIFI6电脑主板+AMD 锐龙7 7800X3D游戏处理器主板CPU套装,3209.00,铭瑄京东自营旗舰店,,30,jfs/t1/246079/29/15322/117862/669f4fddF08734b66/2d2a3a0bdd05e4d2.jpg,1000094211,游戏专用;WiFi6集成;流畅体验;强大支持;高性能;低功耗;稳定兼容;WIFI6;简易安装;精准控制,100111489783,200+,100111489783
英特尔(Intel) i3-13100 酷睿13代 处理器 4核8线程 睿频至高可达4.5Ghz 12M三级缓存 台式机CPU,1199.00,英特尔京东自营旗舰店,,5000+,jfs/t1/199016/30/42378/81011/6662b8b9Fdb9f1207/15e9f848ab8d1641.png,1000000693,4核8线程;12M三级缓存;高效能核显;高效办公,100049450167,7000+,100049450167
精粤(JGINYUE) 精粤 主板CPU套装H810M-D/B+英特尔酷睿Ultra5 225F 主板CPU套装,4428.00,精粤京东自营旗舰店,Ultra5 225F,500+,jfs/t1/363860/23/3472/121980/6921687bFeb6f6b33/c2dda7916469b880.png,1000600299,紧凑设计;酷睿Ultra5;双M.2接口;智能供电;ARGB灯效,100300731888,800+,100300731888
华硕TX GAMING B650EM WIFI W天选主板+AMD 锐龙5 9600X CPU  主板+CPU套装,2348.00,华硕京东自营旗舰店,B650M 天选+9600X,2000+,jfs/t1/275949/21/14699/137112/67ecdfb1F8a7eb2f4/c11c975a48c474b5.jpg,1000000225,紧凑设计;AMD平台,100201357448,4000+,100201357448
英特尔（Intel）酷睿 Ultra 5 处理器 250K Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1699.00,英特尔京东自营旗舰店,Ultra 5 250K Plus,200+,jfs/t1/428010/8/5189/415986/69f19a86F61d65801/0083320320662281.png,1000000693,7万+人浏览;9千+店铺粉丝浏览;1千+人收藏,100244553065,900+,100244553065
七彩虹（Colorful） 主板CPU套装BATTLE-AX B850M-PLUS S WIFI7 V14+AMD 锐龙 5 9600X主板+CPU套装,2169.00,七彩虹京东自营旗舰店,七彩虹B850M 超级黑刃+9600X,2万+,jfs/t1/332951/2/18774/161075/68db4207Fd683422a/8c9e06df33d3e783.jpg,1000000267,正品盒装带票;主板3年质保;买套装更优惠;WiFi 7,100284567344,5万+,100284567344
精粤(JGINYUE) 精粤 主板CPU套装B760M HD/W+INTEL 酷睿i5 12490F 主板CPU套装,1438.00,精粤京东自营旗舰店,i5 12490F,500+,jfs/t1/302781/17/6936/122605/68269a07F6dce027f/0e67e5ba079b9404.png,1000600299,高性能主板;酷睿加持,100224695258,800+,100224695258
华硕TUF GAMING B650EM-PLUS WIFI主板+AMD 锐龙5  9600X CPU  主板+CPU套装,2398.00,华硕京东自营旗舰店,B650EM 重炮手+9600X,2000+,jfs/t1/288943/36/4828/129701/68206c27Fe983b9cd/0cdafdcd498c8e0b.jpg,1000000225,紧凑设计;强劲性能;游戏专用;无线连接,100172207113,4000+,100172207113
B760M-AYW WIFI D4 II主板+英特尔(intel) i5  12600KF CPU  主板+CPU套装,2099.00,华硕京东自营旗舰店,华硕B760M D4 WIFI II+12600KF,10万+,jfs/t1/384517/11/13422/104585/6965a00eFd6552e04/025815e15e288fc6.jpg,1000000225,高性价比;600+人收藏;1万+店铺粉丝浏览,100172207535,10万+,100172207535
微星(MSI)主板CPU套装B850M  GAMING PLUS WIFI+AMD锐龙5 9600X 板U套装,2418.00,微星京东自营旗舰店,微星B850M 小白龙PLUS WF+9600X,2万+,jfs/t1/298464/10/4559/121285/684b9ff0F43596f92/ebddaf5cdaa78835.jpg,1000000266,套装购买更优惠;微星板U套装;主板三年质保;三年质保,100223361406,5万+,100223361406
精粤(JGINYUE) 精粤 主板CPU套装B650M Night Devil WiFi+AMD R7 7800X3D 主板CPU套装,3158.00,精粤京东自营旗舰店,,0,jfs/t1/355699/23/14814/128701/692185ebFb4f11790/1323a9036beba6bb.png,1000600299,,100225382651,,100225382651
技嘉主板CPU套装战鹰B850M FORCE WIFI6E+AMD 锐龙 5 9600X处理器,2297.00,技嘉京东自营旗舰店,技嘉B850M战鹰WIFI+9600X,2万+,jfs/t1/387524/14/10817/179423/696eee32F7702dc27/0083320320a3f312.jpg,1000000297,紧凑设计;套装更优惠;稳定性能;AMD平台,100218697267,5万+,100218697267
英特尔（Intel）酷睿 Ultra 5 处理器 250KF Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1649.00,英特尔京东自营旗舰店,Ultra 5 250KF Plus,78,jfs/t1/428610/38/2977/421605/69f19a85F3cd63c4a/00833203205c399b.png,1000000693,100+人已买;800+人收藏;多核多线程,100326334114,100+,100326334114
精粤(JGINYUE) 精粤 主板CPU套装H810M-D/B+英特尔酷睿Ultra5 225 主板CPU套装,1549.00,精粤京东自营旗舰店,Ultra5 225,500+,jfs/t1/357547/1/14817/121804/6921687cF68b51a2e/a4cb313e24141886.png,1000600299,紧凑设计;ARGB灯效;LGA1851;酷睿Ultra5;双M.2接口;智能供电,100225352249,800+,100225352249
华硕 B650M重炮手主板+AMD 锐龙7 7800X3D CPU 主板+CPU套装 主板cpu套装,3409.00,华硕京东自营旗舰店,B650M重炮手+7800X3D,2000+,jfs/t1/227637/8/12624/152256/65a62bbfFfd8b7abb/83250ff608d09c44.jpg,1000000225,优良兼容;M.2便捷卡扣;强劲性能;14供电模组,100081236839,3000+,100081236839
华硕TUF GAMING B850M-PLUS WIFI7重炮手主板+AMD 锐龙5  9600X CPU  主板+CPU套装,2669.00,华硕京东自营旗舰店,华硕B850M重炮手WIFI7+9600X,2万+,jfs/t1/346927/13/11496/124990/68e9c269Ffa2b0bdb/4f43d32b2e54a337.jpg,1000000225,主板一年换新;三档性能调节;3个M.2接口;紧凑设计;强劲性能;游戏专用;强劲处理,100278773646,5万+,100278773646
ROG STRIX B850-G GAMING WIFI S 小吹雪主板 CPU 9700X/9800X3D/9600X(AMD B850/socket AM5) ,1589.00,华硕京东自营旗舰店,【小吹雪】B850-G,2万+,jfs/t1/348084/27/17489/896151/68ff7846F5f1b1812/21a8a06c883d82f7.png,1000000225,80万+人浏览;7千+人收藏;15万+人加购,100206282238,4万+,100206282238
精粤(JGINYUE) 精粤 主板CPU套装H810M-D/B+英特尔酷睿Ultra5 235 主板CPU套装,2099.00,精粤京东自营旗舰店,Ultra5 235,500+,jfs/t1/365436/35/4082/121797/6921687aF196a885f/5bb796a5166f2b57.png,1000600299,紧凑设计;ARGB灯效;酷睿Ultra5;智能供电;双M.2插槽,100300731904,800+,100300731904
华硕TX GAMING B650EM WIFI W天选主板+AMD 锐龙7 7800X3D CPU  主板+CPU套装,3459.00,华硕京东自营旗舰店,B650M 天选+7800X3D,2000+,jfs/t1/277827/32/11757/139149/67e6557bFc800dc55/799010c0149865a1.jpg,1000000225,紧凑设计;多核处理;强劲性能;AMD专属,100201104734,3000+,100201104734
华硕TX GAMING B850M WIFI W主板+AMD 锐龙5  9600X CPU  主板+CPU套装,2569.00,华硕京东自营旗舰店,华硕B850M天选WIFI+9600X,2万+,jfs/t1/332429/6/4539/135442/68ad7b9fF2e6d8297/bb122bbd210eaf49.jpg,1000000225,三档性能调节;3个M.2接口;主板一年换新;紧凑设计;强劲处理;ROG品质;主板换新;游戏专用;WiFi集成;优惠套装,100270211428,5万+,100270211428
英特尔（Intel）酷睿 Ultra 5 处理器 250K Plus 台式机 18核18线程 盒装CPU 畅玩三角洲行动/无畏契约,1699.00,英特尔京东自营旗舰店,Ultra 5 250K Plus,200+,jfs/t1/428010/8/5189/415986/69f19a86F61d65801/0083320320662281.png,1000000693,7万+人浏览;9千+店铺粉丝浏览;1千+人收藏,100244553065,900+,100244553065
精粤(JGINYUE) 精粤 主板CPU套装B760M Snow Dream WIFI/W+INTEL 酷睿i7 14700KF 主板CPU套装,3088.00,精粤京东自营旗舰店,i7 14700KF,500+,jfs/t1/289498/26/5747/129165/68221c87F5c999847/bfc684e7734ef53a.png,1000600299,紧凑设计;LGA1700;INTEL芯;多接口支持;WIFI集成;酷睿强劲;B760主板;酷睿加持,100224696268,800+,100224696268
铭瑄MS-终结者B850M PRO II WIFI7电脑主板+AMD 锐龙 7 7800X3D处理器套装,3439.00,,铭瑄B850M PRO 二代+7800X3D,2万+,jfs/t1/379721/20/12167/108054/694e3d63F6168b9a4/bc61c855c5af043c.jpg,0,紧凑设计;强劲性能;WIFI7;多核处理,100311997196,5万+,100311997196
微星(MSI)主板CPU套装B850M MORTAR WIFI迫击炮+AMD锐龙5 9600X 板U套装,2589.00,微星京东自营旗舰店,微星B850M 迫击炮WIFI+9600X,2万+,jfs/t1/319885/7/8641/93703/684ba001Fcab2965c/1b7026d46133dfd9.jpg,1000000266,主板三年质保;官方自营;长效质保;高质主板,100200089770,5万+,100200089770
华硕ROG STRIX Z890-A GAMING WIFI S吹雪主板+英特尔(intel) U7 270K PLUS CPU  主板+CPU套装,4649.00,华硕京东自营旗舰店,ROG Z890吹雪+270K PLUS,1000+,jfs/t1/407410/31/7202/159706/69c203dbF1f618da2/0083320320f1c57b.jpg,1000000225,7千+店铺粉丝浏览;100+人收藏;6千+人加购,100251225169,2000+,100251225169
精粤(JGINYUE) 精粤 主板CPU套装H610M-D PLUS+INTEL 酷睿i5 12490F 主板CPU套装,1379.00,精粤京东自营旗舰店,i5 12490F,500+,jfs/t1/290712/28/6542/124701/6823f9aaF8d66f11e/b692b76c69c79321.png,1000600299,H610芯片;紧凑设计;高性能CPU;M-ATX板;H610接口;酷睿性能,100226198176,800+,100226198176
华擎 (ASRock) B550M Phantom Gaming 4主板+AMD 锐龙5 5600 处理器 台式机 CPU 主机CPU 主板CPU套装,1429.00,华擎京东自营旗舰店,R5-5600,47,jfs/t1/205397/8/31760/149504/65afecb3F776116a7/72475858cc9a0d92.jpg,1000000509,4xDDR4;双M.2;5600;锐龙支持;紧凑设计;稳定性能;高效散热;强劲性能;多元接口;耐用材料,100081236407,,100081236407
七彩虹（Colorful） 主板CPU套装COLORFIRE B850M-A MEOW WIFI橘影橙+AMD 锐龙 7 9700XCPU 主板+CPU套装,2378.00,七彩虹京东自营旗舰店,R7 9700X,200+,jfs/t1/341296/18/9748/196940/69313e1bFd6bd30be/7e319541dae65c05.jpg,1000000267,强劲处理;炫彩设计,100248670250,200+,100248670250
技嘉（GIGABYTE）B650M D2HP  DDR5支持AMD CPU AM5 9800X3D/9700X/7800X3D,649.00,技嘉京东自营旗舰店,B650,2万+,jfs/t1/387645/7/11903/132725/69707b9cF229f0d2b/00833203204b6a1e.jpg,1000000297,超100万人关注店铺;超10万人店内购买,100239002695,4万+,100239002695
精粤(JGINYUE) 精粤 主板CPU套装B760I Snow Dream+INTEL 酷睿i5 14400F 主板CPU套装,1759.00,精粤京东自营旗舰店,i5 14400F,500+,jfs/t1/301344/14/22005/127829/6870b92bF90242324/52e27be631855542.png,1000600299,,100254418440,800+,100254418440
