商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
金百达（KINGBANK）32GB(16GBX2)套装 DDR4 3200 台式机内存条 银爵 C16 适配黑神话悟空,1279.00,金百达京东自营旗舰店,【DDR4 3200】银爵 电竞散热款,100万+,jfs/t1/408868/30/7578/132224/69c4af68F4a67f966/008332032011efa1.jpg,1000076001,适配性强;超高速度;游戏电竞;双通道设计,100007177599,100万+,100007177599
光威（Gloway）16GB DDR5 4800 台式机内存条 天策 马甲条 精选颗粒 CL40 皓月白 AI电脑配件升级,1039.00,光威京东自营旗舰店,4800 C40 天策-皓月白 精选颗粒,10万+,jfs/t20280429/423306/6/21757/120968/69f30819Fee8c1fa5/0a0232032013a334.jpg,1000077382,精选颗粒;一键超频;优化游戏体验;CL40时序,100042361173,10万+,100042361173
忆捷（EAGET）DDR3 8GB 1600Mhz 1.5V 电脑台式机内存条 普条 第三代电脑内存 办公学习适用 P10,139.00,忆捷存储京东自营旗舰店,【DDR3 1600】普条,5000+,jfs/t1/408085/35/11560/867537/69c3a2f7F5a36a16a/093b320320d0ad94.png,1000000335,600+人收藏;4万+人加购;6千+人已买,100204284610,1万+,100204284610
七彩虹（Colorful）32G(16G*2)DDR4 3200 台式机内存条 马甲条 战斧系列·钛金灰 C18 支持工作站部署,1199.00,七彩虹京东自营旗舰店,【3200】战斧·钛金灰(C18),20万+,jfs/t1/426308/11/6820/139072/69f018ffF4a235cfb/0083320320489d37.jpg,1000000267,精选颗粒;台式机专用;双通道设计;稳定兼容,100176751558,30万+,100176751558
长城（Great Wall）8GB DDR4 3200频率 台式机内存条马甲条 龙鳞铂金系列,349.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】铂金 电竞款,2万+,jfs/t1/415922/5/6710/63718/69d60f3eFec166140/008332032053ba0f.jpg,1000468648,9千+人加购;稳定兼容;500+店铺粉丝浏览,100150967662,3万+,100150967662
金百达（KINGBANK）16GB DDR4 3200 台式机内存条 银爵 C16 适配黑神话悟空,649.00,金百达京东自营旗舰店,【DDR4 3200】银爵 电竞散热款,100万+,jfs/t1/407215/15/18808/121229/69c4af61Fcd6bd04f/0083320320e88977.jpg,1000076001,高效能效;高速传输;游戏加速;优选颗粒,100007177597,100万+,100007177597
光威（Gloway）16GB(8GBx2) DDR5 6000 台式机内存条 天策 马甲条 海力士M-die CL36 皓月白 AI电脑配件升级,1359.00,光威京东自营旗舰店,6000 C36天策-皓月白海力士M-die,10万+,jfs/t20280429/425898/30/6922/135655/69f30819Ff9027ac6/0a02320320a9132a.jpg,1000077382,海力士颗粒;双通道设计;大容量支持;CL36 时序,100223316721,10万+,100223316721
长城DDR4 3200黑金内存条,539.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】黑金 Intel专用,2万+,jfs/t1/420398/37/2144/66051/69de0e87Fdb5ff92f/0083320320b16532.jpg,1000468648,稳定兼容;Intel专用;甄选原厂颗粒;便捷升级,100150967682,3万+,100150967682
长城（Great Wall）8GB DDR4 3200频率 台式机内存条马甲条 Intel专用条龙鳞黑金系列,279.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】黑金 Intel专用,2万+,jfs/t1/420658/35/2058/65991/69de0e87F86027794/0083320320c52dfd.jpg,1000468648,4万+人加购;10万+人浏览;近7日人气商品,100150967676,3万+,100150967676
金百达（KINGBANK）32GB(16GBX2)套装 DDR4 3600 台式机内存条  intel专用条 黑爵 适配黑神话悟空,1259.00,金百达京东自营旗舰店,【DDR4 3600】黑爵 Intel专用,100万+,jfs/t1/409977/12/3898/146751/69c4af3eF8b08c065/0083320320741c1b.jpg,1000076001,极致性能;稳定兼容;高效畅玩;高频率运行,100047815753,100万+,100047815753
金百达（KINGBANK）32GB(16GBX2)套装 DDR5 6000 台式机内存条 国产颗粒 银爵 C36 Deepseek硬件,2459.00,金百达京东自营旗舰店,[D5 6000]银爵国产颗粒 C36,2万+,jfs/t1/409127/33/7670/140236/69c4b163F88a667e6/008332032079f981.jpg,1000076001,先进工艺;游戏电竞;双通道设计;高效运行,100133261333,5万+,100133261333
七彩虹（Colorful）16G DDR5 6000 台式机内存条 马甲条 战斧系列·陨铁黑 C38 openclaw兼容,1198.00,七彩虹京东自营旗舰店,6000 C38 战斧·陨铁黑 精选颗粒,2万+,jfs/t1/428206/9/2590/137925/69f01ccfF16a2cc4e/0083320320234356.jpg,1000000267,高效散热;即插即用;稳定兼容;优质颗粒,100090120212,2万+,100090120212
忆捷（EAGET）8GB DDR4 3200Mhz赫兹 台式机内存条 电脑内存马甲条 适配游戏电竞黑神话悟空 PS40系列,289.00,忆捷存储京东自营旗舰店,【DDR4 3200】电竞散热款,2000+,jfs/t1/425746/23/12192/142639/69f2ba7cF4a816269/008332032017ff0e.jpg,1000000335,1万+人加购;高效散热;近7日人气商品,100204284586,4000+,100204284586
金百达16G(8GX2)3200台式内存条,659.00,金百达京东自营旗舰店,【DDR4 3200】银爵 电竞散热款,100万+,jfs/t1/407057/19/11170/131564/69c4af5bFa95e9d63/0083320320436a70.jpg,1000076001,稳定性能;升级空间大;高速传输;双通道设计,100014056864,100万+,100014056864
GEIL金邦 32GB(16GBx2) DDR5-4800 台式机电脑内存条 千禧系列 低电压 品牌电脑扩展存储条,1999.00,GEIL存储京东自营旗舰店,千禧系列基础版【DDR5 4800】,1000+,jfs/t1/393004/1/6084/102472/697c5c16F3414df07/00833203202b1512.jpg,1000443886,升级优选;性能提升;组建双通道;加装升级;高效兼容;4800MT/s;大容量存储;台式机专用;生命周期保固;双通道支持,100265788166,2000+,100265788166
阿斯加特（Asgard）16GB(8GBx2) DDR5 6000 台式机内存条 海拉 马甲条 海力士A-die CL28 极夜黑 AI电脑配件升级,1399.00,阿斯加特京东自营旗舰店,6000 C28 海拉-极夜黑 A-die,2万+,jfs/t20280416/421130/16/6005/145993/69e1ad63Fd7d3a638/0a02320320568557.jpg,1000079883,海力士颗粒;超低时序;一键超频;海力士芯,100219543021,2万+,100219543021
长城（Great Wall） 8GB DDR4 2666频率 台式机电脑内存条 普条系列,295.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 2666】普条,2万+,jfs/t1/414908/21/11711/56191/69d60f3fFc70e8c66/0083320320cdbfd8.jpg,1000468648,2千+人已买;近30日人气商品;100+人收藏,100150967648,3万+,100150967648
来酷 联想（lecoo） DDR5 32G(16G*2)套装 6000  台式机内存条 酷玩系列 AI电脑配件 大模型硬件,2209.00,联想来酷京东自营旗舰店,【D5 6000】酷玩 竞技款,2000+,jfs/t1/409709/2/13520/110156/69ccd95eF137a2c52/00833203200c5919.jpg,1000101933,32G套装马甲;台机DDR5;6000MHz;快速响应;超高频率;适配新款;强大兼容性;稳定性能;AI加速技术;流畅游戏体验,100108579119,8000+,100108579119
GEIL金邦 32GB(16GBx2)DDR5-5600 台式机电脑内存条 千禧系列 低电压 品牌电脑扩展存储条,2099.00,GEIL存储京东自营旗舰店,千禧系列基础版【DDR5 5600】,1000+,jfs/t1/390905/23/11406/102829/697c5ecbFd79ed3af/0083320320586154.jpg,1000443886,升级优选;稳定兼容;适配品牌机;32GB容量;大容量存储;高频率运行;高性能内存;千禧系列;双通道套装;快速传输,100234719222,2000+,100234719222
光威（Gloway）24GB DDR5 6000 台式机内存条 天策 马甲条 三星颗粒 CL42 皓月白 AI电脑配件升级,1459.00,光威京东自营旗舰店,6000 C42 天策-皓月白 三星颗粒,10万+,jfs/t20280429/424908/40/16965/121110/69f30819F988853f6/0a02320320b71a4d.jpg,1000077382,兼容性稳定;平台优化;优质颗粒;三星颗粒,100320773712,10万+,100320773712
忆捷（EAGET）16GB DDR4 3200Mhz赫兹 台式机内存条 电脑内存马甲条 适配游戏电竞黑神话悟空 PS40,579.00,忆捷存储京东自营旗舰店,【DDR4 3200】电竞散热款,2000+,jfs/t1/298942/21/16426/80529/68505c8bF67a853da/c930a76989ae99ed.jpg,1000000335,近7日人气商品;近30日人气商品;3万+人加购,100204284628,4000+,100204284628
宏碁掠夺者（PREDATOR）24G 单条 DDR5 6000频率 台式机内存条 Pallas II 凌霜系列（C30）星光银 AI电脑配件,1699.00,宏碁掠夺者（PREDATOR）存储京东自营旗舰店,6000MHz C30凌霜-银,2万+,jfs/t1/423555/29/17114/114551/69ef2614Fa5ba24b5/008332032084d886.jpg,1000364368,高规格散热马甲;高速传输;稳定兼容;星光银外观,100319058570,3万+,100319058570
爱国者32GB(16G×2)套装 DDR4 3200 台式机内存条 马甲条 双通道电脑存储条 承影黑色 C16 Deepseek硬件,1299.00,爱国者存储京东自营旗舰店,【D4 3200】承影 电竞散热 C16黑,5万+,jfs/t1/410147/25/15272/70379/69cb8596F9af5b99d/0083320320a3b2bd.jpg,1000002519,C16超低时序;3200MHz;支持XMP超频;黑色外观;瞬时响应;国民好物;卓越兼容;大容量存储;售后无忧;散热设计,100089794733,6万+,100089794733
七彩虹（Colorful）32GB(16G×2)DDR4 3200 台式机内存条 马甲条 战斧系列·冰雪白 C18 支持工作站部署,1199.00,七彩虹京东自营旗舰店,【3200】战斧·冰雪白(C18),20万+,jfs/t1/428646/31/1272/115525/69f0195aFbd8e314b/00833203200c079b.jpg,1000000267,适配多款主板;高效能提升;双通道设计;高速内存频率,100046944140,30万+,100046944140
阿斯加特（Asgard）24GB DDR5 6000 台式机内存条 海拉 马甲条 精选颗粒 CL42 极地白 AI电脑配件升级,1409.00,阿斯加特京东自营旗舰店,6000 C42 海拉-极地白 精选颗粒,1000+,jfs/t20280416/419142/9/12194/137062/69e1ad62F683bb31a/0a023203206865bc.jpg,1000079883,一键超频;XMP3.0;高速传输;24GB大容量;超低时序;6000MHz;海拉设计;精选颗粒;极地白色,100321709392,1000+,100321709392
光威（Gloway）16GB DDR5 6000 台式机内存条 龙武 马甲条 镁光颗粒 CL38 星空黑 AI电脑配件升级,1199.00,光威京东自营旗舰店,6000 C38 龙武-星空黑 镁光颗粒,10万+,jfs/t20280429/424956/23/17450/133737/69f3081aFeac12b98/0a023203207853d2.jpg,1000077382,台式机专用;星空黑色;马甲条设计;CL38 时序,100320969280,10万+,100320969280
奔跑者（Runner）32GB(16G×2)套装 DDR5 6000 台式机内存条 灵跃 电竞马甲条 CL38 钛晶灰,2099.00,奔跑者（RUNNER）京东自营旗舰店,灵跃【D5 6000】 灰色/C38,100+,jfs/t1/428850/23/1315/131243/69f08135F8b12aa6f/0083320320397cb0.jpg,1032303420,,100316350738,300+,100316350738
金百达（KINGBANK）32GB(16GBX2)套装 DDR5 6000 台式机内存条海力士A-die颗粒 星刃黑 C28 Deepseek硬件,2799.00,金百达京东自营旗舰店,【D5 6000】星刃海力士A-die C28,20万+,jfs/t1/408610/8/10756/135638/69c4b242Fb6fdbbbc/0083320320130d6d.jpg,1000076001,星刃战甲设计;时序CL28;性能卓越;原厂原印海力士,100098768438,20万+,100098768438
忆捷（EAGET） 16GB(8GBX2)套装 DDR4 3200Mhz 电脑台式机内存条 马甲条 适配游戏电竞PS40,569.00,忆捷存储京东自营旗舰店,【DDR4 3200】电竞散热款,2000+,jfs/t1/305722/11/14519/118278/6862d029F11d3395b/2f4d720ea24aafeb.jpg,1000000335,600+人已买;7万+人浏览;100+人收藏,100159965739,4000+,100159965739
GEIL金邦DDR5-5600内存条,1099.00,GEIL存储京东自营旗舰店,千禧系列基础版【DDR5 5600】,1000+,jfs/t1/410952/14/8146/212486/69c9e82aF35acc384/008332032030bac3.jpg,1000443886,高效扩展;稳定兼容;高速传输;台式优选,100093268337,2000+,100093268337
宏碁掠夺者（PREDATOR）32G(16G×2)套装 DDR5 6000频率 台式机内存条 Hermes冰刃系列 RGB灯条(C28) 白色 AI电脑配件,3099.00,宏碁掠夺者（PREDATOR）存储京东自营旗舰店,6000MHz C28冰刃-白,5万+,jfs/t1/425603/16/8152/113812/69ef261fF43e03917/00833203202c4020.jpg,1000364368,AMD黄金搭档;实时温度感知;RGB灯效;双通道设计,100171531574,10万+,100171531574
金百达（KINGBANK）32GB(16GBX2)套装 DDR5 6000 台式机内存条海力士M-die颗粒 银爵 C30 Deepseek硬件,2599.00,金百达京东自营旗舰店,【6000】银爵海力士M-die C30,10万+,jfs/t1/410147/30/3505/142160/69c4b046Fb5eb99b0/0083320320a6c8be.jpg,1000076001,DDR5技术;高速频率;双通道设计;稳定兼容,100137697258,10万+,100137697258
长城（Great Wall）16GB DDR4 2666频率 台式机电脑内存条 普条系列,579.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 2666】普条,2万+,jfs/t1/415608/23/6744/56261/69d60f41F35d20c8d/00833203206c3355.jpg,1000468648,100+人收藏;1千+人已买;500+店铺会员浏览,100124439839,3万+,100124439839
光威 DDR5 6000 24G CL28 内存条,1699.00,光威京东自营旗舰店,6000 C28 龙武-银 海力士M-die,10万+,jfs/t20280429/429822/14/1060/140757/69f30819F54e775d2/0a02320320449857.jpg,1000077382,马甲设计;海力士芯;CL28时序;海力士M-die,100240661727,10万+,100240661727
七彩虹（Colorful）32G(16Gx2)DDR5 6000 台式机内存条 马甲条 战斧系列·陨铁黑 C38 支持工作站部署,2399.00,七彩虹京东自营旗舰店,6000 C38 战斧·陨铁黑 精选颗粒,2万+,jfs/t1/426603/12/7742/143536/69f01cf5Fbdcb80db/00833203204870c2.jpg,1000000267,极速响应;双通道设计;稳定兼容;性能超凡,100090120192,2万+,100090120192
光威 DDR5 7000 32G台式机内存条,2599.00,光威京东自营旗舰店,7000 C34 神策-白 海力士A-die,5万+,jfs/t20280429/429356/38/2577/130085/69f30819F77321370/0a0232032098a1c2.jpg,1000077382,CL34时序;RGB灯效同步;适配黑神话;炫酷灯效;出色稳定性;兼容性强;RGB炫彩;海力士芯片;低延迟CL34;RGB灯条,100073065433,8万+,100073065433
GEIL金邦32GB DDR5-6000 台式机电脑内存条 巨蟹马甲条系列金属灰 C40 电脑升级加装,2249.00,GEIL存储京东自营旗舰店,[6000]巨蟹-金属灰 精选颗粒,1000+,jfs/t1/410520/33/3532/197075/69c7491dF98dd6938/008332032054aca6.jpg,1000443886,电脑加装升级;合金马甲;稳定兼容;金属灰外观;升级加装;单条32GB;大容量存储;高频6000,100300028758,2000+,100300028758
宏碁掠夺者（PREDATOR）32G(16G×2)套装 DDR5 6000频率 台式机内存条 Pallas II 凌霜系列（C32）石耀黑 AI电脑配件,2799.00,宏碁掠夺者（PREDATOR）存储京东自营旗舰店,6000MHz C32凌霜-黑,2万+,jfs/t1/425804/39/8822/111427/69ef2623F8255a42c/0083320320b677c9.jpg,1000364368,高效散热;稳定兼容;性能出色;DDR5新,100289236056,3万+,100289236056
光威 DDR5 6000 16G台式机内存条,1399.00,光威京东自营旗舰店,6000 C28 神武-灰 A-die,5万+,jfs/t20280429/426544/35/10258/120152/69f3081aF2cd80497/0a02320320bef663.jpg,1000077382,RGB灯条;CL28时序;海力士A-die;XMP3.0;太空灰色;超频6000;16GB大容量;RGB灯效,100321034156,8万+,100321034156
长城（Great Wall）8GB DDR4 3200频率 台式机电脑内存条 普条系列,339.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】普条,2万+,jfs/t1/321428/18/16318/27551/6874c7dfF21f219bc/9fc8805a0f48b40e.jpg,1000468648,稳定兼容;900+人已买;3万+人浏览;高速性能,100150967670,3万+,100150967670
金百达（KINGBANK）32GB(16GBX2)套装 DDR5 6000 台式机内存条海力士A-die颗粒 白刃RGB灯条 C28 Deepseek硬件,2799.00,金百达京东自营旗舰店,[6000]白刃灯条海力士A-die C28,20万+,jfs/t1/407921/32/7983/131563/69c4b283F9f80d074/0083320320363e99.jpg,1000076001,RGB灯效;稳定性卓越;A-die颗粒;海力士原装,100120470826,20万+,100120470826
宏碁掠夺者（PREDATOR）32G(16G×2)套装 DDR5 6000频率 台式机内存条 Pallas II 凌霜系列（C32）星光银 AI电脑配件,2799.00,宏碁掠夺者（PREDATOR）存储京东自营旗舰店,6000MHz C32凌霜-银,2万+,jfs/t1/425519/9/9496/111905/69ef2624F0eeb9069/0083320320226aa3.jpg,1000364368,高速传输;星光银外观;XMP3.0;E.X.P.O,100289236096,3万+,100289236096
金百达（KINGBANK）32GB(16GBX2)套装 DDR5 6000 台式机内存条海力士M-die颗粒 银爵 C36 Deepseek硬件,2499.00,金百达京东自营旗舰店,【6000】银爵海力士M-die C36,10万+,jfs/t1/408122/30/13445/144472/69c4b03cF2951f410/00833203208fd4f3.jpg,1000076001,CL36;海力士;M-die颗粒;流畅体验;C36时序;PMIC电压;节能高效;DDR5升级;高频稳定;兼容性强,100043895094,10万+,100043895094
惠普128GB TF（MicroSD）内存卡A1 U3 高速紫卡 读速100MB/s手机平板游戏无人机车记录仪存储卡,219.00,惠普存储京东自营旗舰店,TF卡-高速紫白卡,2000+,jfs/t1/419157/8/9525/2198580/69df2cf5Ffd5cd1f8/0083800800ba249f.jpg,1000002252,300+人浏览;超10万人店内购买;只换不修,100241377383,4000+,100241377383
光威（Gloway）32GB(16GBX2) DDR5 6800 台式机内存条 龙武 马甲条 三星颗粒 CL38 星空黑 AI电脑配件升级,2399.00,光威京东自营旗舰店,6800 C38 龙武-黑三星颗粒,10万+,jfs/t20280429/425289/29/15589/158679/69f30819F955e5500/0a023203202afc82.jpg,1000077382,大容量32GB;一键超频;CL38时序;三星颗粒,100266794216,10万+,100266794216
阿斯加特（Asgard）32GB(16GBx2) DDR5 6000 台式机内存条 海姆达尔 马甲条 三星颗粒 CL38 黑厚甲 AI电脑配件升级,2399.00,阿斯加特京东自营旗舰店,6000 C38 海姆达尔-黑 三星颗粒,2万+,jfs/t20280416/421793/1/3327/166586/69e1adeaFb982c508/0a023203206150c3.jpg,1000079883,三星颗粒;一键超频;高性能体验;CL38优化,100261498758,4万+,100261498758
GEIL金邦 16GB(8GBx2)套装 DDR5 6000 台式机电脑内存条 海力士A-die颗粒 巨蟹马甲系列金属灰C30 ,1499.00,GEIL存储京东自营旗舰店,[6000]巨蟹-金属灰 海力士A-die,1000+,jfs/t1/410584/26/5417/189473/69c748d0F2343b91f/00833203205e5478.jpg,1000443886,金属外壳;双通道套装;DDR5技术;海力士颗粒,100314795860,2000+,100314795860
惠普128GB TF（MicroSD）内存卡 U1 C10 高速蓝卡 读速100MB/s 行车记录仪 运动相机无人机 监控存储卡,186.00,惠普存储京东自营旗舰店,行车记录仪&安防监控专用,2000+,jfs/t1/420836/17/2001/217757/69df5a15F2a7cbec8/008332032093319c.jpg,1000002252,店铺被10万人种草;超大容量;高速性能,100313236236,4000+,100313236236
光威（Gloway）32GB(16GBx2) DDR5 6400 台式机内存条 龙武 马甲条 镁光颗粒 CL38 星空黑 AI电脑配件升级,2399.00,光威京东自营旗舰店,6400 C38 龙武-黑 镁光颗粒,10万+,jfs/t20280429/427009/3/9590/158825/69f30819Fd2802b61/0a0232032018a7dd.jpg,1000077382,超强性能;镁光颗粒;高体质颗粒;适配多设备,100113204983,10万+,100113204983
金百达（KINGBANK）32GB(16GBX2)套装 DDR4 3600 台式机内存条 海力士原装CJR/DJR颗粒 银爵 C18,1459.00,金百达京东自营旗舰店,【DDR4 3600】银爵 电竞散热款,100万+,jfs/t1/423342/13/22252/136252/69f2d19eF57b26db6/0083320320328218.jpg,1000076001,极速加载;畅玩无阻;海力士颗粒;双通道设计,100038016738,100万+,100038016738
佰维（BIWIN）32G(16G×2)套装 DDR5 6000频率台式机内存条 时空行者DW100 RGB灯条(C30)黑色 AI PC电脑配件,2829.00,佰维（BIWIN）存储京东自营旗舰店,6000MHz C30时空行者-黑,500+,jfs/t1/409787/4/7444/130568/69c6024fF0177cacf/0083320320e42ef8.jpg,1000476284,精挑颗粒;RGB灯条;无惧挑战;高效性能;高频率支持;长效保固;低时序CL30;悦动炫光;大容量存储;立体设计,100145600388,600+,100145600388
忆捷（EAGET）32GB(16G×2)套装 DDR4 3200 台式机内存条 马甲条2条装PS40 适用于游戏电竞商务办公专业摄影设计,1159.00,忆捷存储京东自营旗舰店,【DDR4 3200】电竞散热款,2000+,jfs/t1/429346/24/1995/163105/69f2ba7aF3dc3d664/008332032000afe6.jpg,1000000335,1万+人加购;稳定性能疾速提升;200+人收藏,100159965735,4000+,100159965735
光威（Gloway）32GB(16GBX2) DDR5 6000 台式机内存条 龙武 马甲条 镁光颗粒 CL38 星空黑 AI电脑配件升级,2399.00,光威京东自营旗舰店,6000 C38 龙武-星空黑 镁光颗粒,10万+,jfs/t20280429/426574/20/7366/159824/69f30819Fbb6d4766/0a0232032088b6c5.jpg,1000077382,星空黑设计;镁光颗粒;CL38时序;大容量支持,100266794222,10万+,100266794222
